Region,Area,Distribution House,Territory,Point,Route/Section,Cluster Name,Cluster Type,Geo Classification,latitude,longitude,P_Sales,AP_Sales,VFM_Sales,LOWPLUS_SALES,LOW_Sales,TOTAL_Sales,Consumer_Footfall
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,"Kacha Bazar , Reserve Bazar",Commercial Hub,Urban,22.65496516,92.19667149,0.625996739,0.535161879,0.492137839,0.689238725,0.754271838,3.096807021,2341
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,Mass Bazar,Commercial Hub,Urban,22.65529251,92.19634628,0.249679293,0.227008318,0.615936024,0.011636354,0.074018816,1.178278805,7911
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,Puranbosti,Residential,Urban,22.65547371,92.19604492,0.643462656,0.951824433,0.535651636,0.844478524,0.425938274,3.401355524,11247
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,"Sutkti Potti,Reserve Bazar",Commercial Hub,Urban,22.65458107,92.19608434,0.910998526,0.037730111,0.103621083,0.681104686,0.365774643,2.099229049,3699
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,FISHARI GHAT,Commercial Hub,Urban,22.64867783,92.18453979,0.810353645,0.30920312,0.892493998,0.53962481,0.115944111,2.667619684,2639
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,Kathaltali Saw Mill,Commercial Hub,Rural,22.65038109,92.1832962,0.936011916,0.889074875,0.012495342,0.385141549,0.57277582,2.795499503,22360
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,Kathaltali Saw Mill,Commercial Hub,Urban,22.65052843,92.1832428,0.963797223,0.275203842,0.227864255,0.238086026,0.590206126,2.295157473,23575
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,MATRIMONGOL,Commercial Hub,Urban,22.64518356,92.19239044,0.605790198,0.865315917,0.430434228,0.335440823,0.952126661,3.189107827,24283
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,MATRIMONGOL,Residential,Urban,22.64503908,92.19231415,0.638927743,0.101795797,0.068932142,0.107531886,0.491200917,1.408388484,2997
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,NEW BUS STAND,Transit Hub,Urban,22.64712211,92.18379157,0.779235272,0.053515835,0.484286933,0.60971549,0.980238914,2.906992444,2792
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,OLD BUS STAND,Transit Hub,Urban,22.64650895,92.19155704,0.916264044,0.884640374,0.764302433,0.554801788,0.33638277,3.456391408,10255
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,Pawrasova Market,Commercial Hub,Urban,22.64949274,92.18367863,0.713493195,0.701198707,0.205511256,0.575588054,0.43548979,2.631281002,13535
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,Shanti Nagar,Residential,Urban,22.64563942,92.18335724,0.404488595,0.735660254,0.332509144,0.049759948,0.070362859,1.592780801,14600
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,Shanti Nagar,Transit Hub,Urban,22.64595222,92.18328349,0.63579942,0.30869238,0.363020344,0.878551967,0.129662917,2.315727028,17580
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,SP OFFICE AREA,Commercial Hub,Urban,22.64688492,92.19428635,0.597131316,0.708793678,0.952796193,0.338216048,0.941582246,3.538519481,3095
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,SP OFFICE AREA,Residential,Urban,22.64641762,92.19298554,0.780900909,0.331649481,0.047173439,0.296104131,0.184629198,1.640457159,17779
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122A,TRUCK TERMINAL,Transit Hub,Urban,22.6469532,92.19104614,0.449569293,0.64891762,0.778916017,0.048037599,0.847267859,2.772708388,9992
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Anondo Bihar,Commercial Hub,Urban,22.64144564,92.19015312,0.780848178,0.538666327,0.172841205,0.716296408,0.116770517,2.325422636,17604
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Karagar Area,Commercial Hub,Urban,22.64269447,92.19078064,0.495476139,0.656358542,0.108162821,0.112104122,0.188871402,1.560973025,20062
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Majher Bosti Road,Residential,Urban,22.640764,92.18617725,0.275593448,0.700612824,0.25911809,0.028121913,0.845013253,2.108459528,17671
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Majher Bosti Road,Transit Hub,Urban,22.64069367,92.18592835,0.433225172,0.368801105,0.88518359,0.117064917,0.997500972,2.801775757,9506
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Saha School Area Mazerbosti,ASU 30,Urban,22.64083099,92.18445587,0.166592052,0.570986177,0.257145036,0.776203836,0.082881203,1.853808303,7463
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Tabal Chari Bazar,Commercial Hub,Urban,22.63939026,92.1865792,0.873553477,0.724440718,0.865512208,0.12658871,0.50608004,3.096175153,21923
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Tabalchari Kalibari,Commercial Hub,Urban,22.64010239,92.18784332,0.569355085,0.944058789,0.09358416,0.667851245,0.036652426,2.311501703,17438
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Tabalchari Launchgat,Transit Hub,Urban,22.63967133,92.18716431,0.818083462,0.276795074,0.65769664,0.975587139,0.525949996,3.254112311,22708
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Taxistand Tabalchari,Transit Hub,Urban,22.63899493,92.18634701,0.632096954,0.450456144,0.841913003,0.093867617,0.810262604,2.828596322,1318
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,Taxtail Market,Commercial Hub,Urban,22.64057223,92.18871307,0.375862444,0.651308143,0.573071842,0.073081767,0.145433391,1.818757586,18004
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,"Thana Road, Tabalchari",Commercial Hub,Urban,22.63758278,92.1862793,0.431963766,0.51753026,0.603117391,0.376261051,0.652804092,2.581676561,3331
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,122B,"Thana Road,Tabalchari",Commercial Hub,Urban,22.63779106,92.18635712,0.4497039,0.433658962,0.022583914,0.185631992,0.973814361,2.065393129,14226
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Banarupa Main Road,Commercial Hub,Urban,22.65319738,92.178862,0.892512034,0.016752659,0.481740108,0.099622077,0.615995744,2.106622622,23091
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Bm Market,Commercial Hub,Urban,22.65294838,92.17871857,0.106447993,0.296491109,0.027506751,0.5203984,0.154578163,1.105422416,7787
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,COURT ROAD,Commercial Hub,Urban,22.65466166,92.17524656,0.715199257,0.496818556,0.777252935,0.454019764,0.160369679,2.60366019,10938
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Forest Road Banorupa,Commercial Hub,Urban,22.65342093,92.17790794,0.843036534,0.039766928,0.805279949,0.34428064,0.449767109,2.48213116,10861
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Forest Road Banorupa,Residential,Urban,22.65359974,92.17810059,0.715681539,0.427129875,0.377114642,0.886038139,0.591149215,2.99711341,11857
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Forest Road Banorupa,Transit Hub,Rural,22.65314674,92.17767334,0.686712507,0.661950042,0.481796101,0.551522956,0.922095319,3.304076926,9584
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Garjontoli,Residential,Urban,22.6520657,92.18428548,0.323579109,0.025651944,0.042636985,0.505977165,0.644411758,1.542256962,12739
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Jagadhatribari,Commercial Hub,Urban,22.65361519,92.17610016,0.947525128,0.446889364,0.040204073,0.548124314,0.013823239,1.996566118,7277
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Khataltali Main Road,Commercial Hub,Urban,22.6519649,92.18102932,0.717867102,0.833753004,0.810040301,0.876622564,0.283210621,3.521493592,1835
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123A,Lakars School Road,Residential,Urban,22.65236187,92.18221283,0.263098076,0.008465504,0.171974427,0.18192076,0.032788428,0.658247195,24942
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123B,KATAPAHAR,Commercial Hub,Urban,22.65399794,92.17903137,0.334658657,0.354660762,0.058304611,0.229437684,0.098935224,1.075996938,1253
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123B,Samata Ghat,Commercial Hub,Urban,22.65685153,92.17926915,0.103477787,0.638920643,0.217601824,0.423645487,0.63616006,2.0198058,15953
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123B,Samata Ghat,Residential,Urban,22.65461922,92.1787262,0.884319708,0.459847054,0.409476102,0.198334508,0.202563453,2.154540825,13537
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123B,Samata Ghat,Transit Hub,Urban,22.6572094,92.1793499,0.751313273,0.020569212,0.610584274,0.134717113,0.59563739,2.112821262,5518
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123B,"Samata Ghat, Kacha Bazar",Commercial Hub,Urban,22.65527288,92.17890487,0.241579887,0.44665587,0.099887419,0.379127204,0.565335443,1.732585823,22638
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,123B,Trivip Nagur,Commercial Hub,Urban,22.65407753,92.17921448,0.917039757,0.042620097,0.134941367,0.640230107,0.807849795,2.542681124,13672
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,Bijoy Sharoni,Commercial Hub,Urban,22.65793037,92.17308044,0.394412053,0.38031877,0.379741466,0.976936158,0.7869179,2.918326348,2791
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,College Gate,ASU 30,Urban,22.66182508,92.16176567,0.457436894,0.858888848,0.450438732,0.43664719,0.429054012,2.632465677,3664
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,GENERAL HOSPITAL,Residential,Urban,22.65898241,92.16773769,0.765005168,0.894642708,0.116922754,0.019307966,0.663694329,2.459572925,4947
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,Jela Porishod,Commercial Hub,Urban,22.65567875,92.17478561,0.986989591,0.744023428,0.32469624,0.591341999,0.686803401,3.333854658,1071
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,Kollyanpur Main Road,Commercial Hub,Urban,22.66188908,92.16617584,0.086117489,0.210529189,0.028964293,0.872238315,0.721965854,1.919815141,23900
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,RAJBARI ROAD,Residential,Urban,22.66070747,92.16986847,0.149441215,0.894742062,0.005433973,0.9160207,0.295297843,2.260935793,17101
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,RAJBARI SAW MILL,Commercial Hub,Urban,22.65967772,92.17028809,0.344978817,0.473056118,0.035188107,0.045015842,0.159826508,1.058065392,10267
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,SOUTH KALINDIPUR,Commercial Hub,Urban,22.65499878,92.17448044,0.486884234,0.504900089,0.873663542,0.685997947,0.692951626,3.244397438,15539
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,SOUTH KALINDIPUR,Residential,Urban,22.65548062,92.17434597,0.91823183,0.926414713,0.447799749,0.104486807,0.133729869,2.530662968,11004
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,STADIUM,Commercial Hub,Urban,22.66015172,92.1695118,0.10498614,0.500259222,0.87485251,0.726284495,0.375565097,2.581947464,20413
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,Stadium Market,Commercial Hub,Urban,22.66064453,92.16790009,0.184887295,0.622933848,0.395352599,0.353246645,0.608794825,2.165215213,8339
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,T&T,Commercial Hub,Urban,22.66159134,92.16625214,0.609757528,0.367473663,0.954044003,0.164565717,0.526632027,2.62247294,5174
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,UPAZILLA PARISAD,Commercial Hub,Urban,22.66294289,92.15775045,0.722729189,0.179496063,0.328212415,0.5969896,0.606783212,2.434210478,6652
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,Upazilla Porishod,Commercial Hub,Urban,22.6628623,92.15873718,0.794496587,0.753203631,0.146096161,0.142309557,0.235683338,2.071789274,22330
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124A,Upazilla Porishod,Residential,Urban,22.66057396,92.16770935,0.719001236,0.239300963,0.227080267,0.24761077,0.213257567,1.646250803,19446
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,Hiltop Market,Commercial Hub,Urban,22.65506935,92.1506691,0.944275942,0.765667314,0.729134605,0.404388552,0.710291227,3.553757639,19793
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,JOBO UNNAYON,Commercial Hub,Urban,22.65613461,92.16454315,0.595476315,0.559164355,0.207528498,0.928753906,0.224738742,2.515661816,5199
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,"Jubo Unnayan, Rangapani",Commercial Hub,Urban,22.65274906,92.15692139,0.514265216,0.067105671,0.448180455,0.358027994,0.594432019,1.982011354,4498
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,"Jubo Unnayan, Rangapani",Residential,Urban,22.65389442,92.15956421,0.031555532,0.225339943,0.984828419,0.60914525,0.177414557,2.028283701,11699
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,Kali Bari Road,Residential,Urban,22.65366364,92.15820313,0.268334077,0.815005952,0.765837377,0.528300001,0.825858019,3.203335427,4894
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,"Lokonath Mondir , Vedvedi",Residential,Urban,22.65706482,92.14855804,0.962416272,0.441428163,0.632537122,0.232361597,0.454629822,2.723372977,17823
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,MONOGHOR,Residential,Urban,22.64868355,92.16000519,0.374131093,0.477056789,0.937665312,0.743541879,0.485048874,3.017443947,15275
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,"Open University , Vedvedi",University Hub,Urban,22.65930462,92.16132355,0.702713299,0.888169706,0.067125794,0.662064069,0.69338277,3.013455637,16685
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,Post Office Colony,Residential,Urban,22.64864159,92.18437958,0.137926787,0.384132706,0.551159733,0.019939258,0.924438932,2.017597415,16240
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,RANGAPANI,Commercial Hub,Urban,22.65437317,92.15611267,0.830884703,0.935579858,0.4949104,0.822466175,0.637284731,3.721125867,734
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,RANGAPANI,Residential,Urban,22.64650129,92.16360872,0.045683471,0.330697719,0.283745052,0.133395279,0.094222574,0.887744095,7528
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,Sangram bihar Vedvedi,Residential,Urban,22.6552949,92.16030312,0.357210117,0.2863977,0.986304896,0.642316112,0.426874325,2.699103151,3679
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,Shena Nibash,Residential,Urban,22.66083241,92.15607834,0.008942622,0.507587227,0.229828768,0.403902695,0.149348753,1.299610065,6864
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,Shimultoli,Residential,Urban,22.65354233,92.14798126,0.796677807,0.397172564,0.301383946,0.078065757,0.233562697,1.806862771,4488
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,124B,VEDVEDI MAIN ROAD,Commercial Hub,Urban,22.65902819,92.15368071,0.163362457,0.890764057,0.850555739,0.720599067,0.146821688,2.772103008,8313
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125A,K K ROY ROAD,Residential,Urban,22.66247919,92.16933017,0.841744028,0.57121225,0.330036243,0.909726397,0.729872101,3.382591018,5700
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125A,Public Health,Residential,Urban,22.65813828,92.17374802,0.741807872,0.834701411,0.657336917,0.605792166,0.241556534,3.0811949,4652
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125A,RAJBARI ROAD,Residential,Urban,22.66032753,92.17055817,0.389580335,0.976743406,0.099513002,0.722623268,0.940029932,3.128489943,11542
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125A,Rajdip,Residential,Urban,22.66219528,92.17700775,0.25050096,0.395126854,0.699684168,0.757258914,0.790256394,2.89282729,5821
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125A,RAJJDIP,Residential,Urban,22.66367912,92.17927043,0.281030798,0.478760943,0.305741295,0.019619834,0.739807616,1.824960485,1450
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,AMANATBAG,Residential,Urban,22.66023933,92.1602656,0.138500172,0.310939741,0.265427394,0.223881234,0.143173287,1.081921828,6104
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,Debashis Nagar,Residential,Urban,22.66305651,92.16739437,0.437073938,0.713744281,0.745406212,0.545221928,0.212694703,2.654141062,18524
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,KOLYANPUR,Residential,Urban,22.66296662,92.16468302,0.109948013,0.688443437,0.370008205,0.053313751,0.129896486,1.351609892,11446
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,MINISTER PARA,Residential,Urban,22.6600577,92.16272354,0.097269475,0.151297719,0.370786461,0.354478394,0.108185739,1.082017788,12711
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,Muslim Para,Residential,Urban,22.65703392,92.15776825,0.821291233,0.891091174,0.881621455,0.379253202,0.926873968,3.900131031,16395
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,PTI,Residential,Urban,22.66438246,92.16970825,0.071171199,0.226149312,0.326275768,0.520398098,0.392862589,1.536856966,3887
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,RAJMONI PARA,Residential,Urban,22.6569066,92.15942764,0.987120127,0.286232421,0.996470297,0.574495226,0.034131906,2.878449977,14104
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,Sukinil Gonj Police Line,Residential,Urban,22.65057731,92.16366768,0.809864223,0.52635097,0.830060805,0.21906884,0.56071202,2.946056858,19995
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,125B,TTC,Residential,Urban,22.66458928,92.16500438,0.761863102,0.507764213,0.585805339,0.426331585,0.647852374,2.929616613,990
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,ASSAMBOSTI MAIN ROAD,Commercial Hub,Urban,22.6371205,92.1749645,0.770636005,0.53470979,0.735937449,0.635589962,0.321816407,2.998689614,21918
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,"Lumbini Bihar Road , Rangapani",Residential,Urban,22.63779068,92.16415405,0.344940785,0.862729879,0.165085366,0.996117164,0.656186593,3.025059789,14859
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,NATUN BOSTI,Commercial Hub,Urban,22.63560104,92.16887665,0.871649141,0.789756368,0.720136142,0.84703793,0.546140824,3.774720405,12773
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,Notun Bosti,Transit Hub,Urban,22.63584423,92.16899941,0.208535351,0.901738542,0.79691641,0.362497067,0.706466011,2.97615338,10739
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,OFFICERS COLONY,Residential,Urban,22.63635318,92.18761953,0.129310321,0.578104828,0.095113649,0.75531287,0.839754498,2.397596165,9235
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,OMDA MIA HILL ROAD,Residential,Urban,22.63360672,92.18416519,0.313971907,0.831595162,0.374386832,0.814817511,0.080314035,2.415085447,9572
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,PARJATAN ROAD,Residential,Urban,22.63299068,92.18745867,0.070994741,0.962762339,0.537115981,0.659717798,0.607656692,2.838247551,3272
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,SORNOTILA,Commercial Hub,Urban,22.63509941,92.1842804,0.765060558,0.763365805,0.960167759,0.487124408,0.917035115,3.892753646,16813
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126A,SORNOTILA,Residential,Urban,22.63529555,92.18280347,0.701151568,0.009747311,0.54794885,0.032840382,0.883935653,2.175623764,2136
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,Chompok Nagar,Residential,Urban,22.65220006,92.17433675,0.953947177,0.032835529,0.275578703,0.487345123,0.560006822,2.309713354,17518
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,DC BANGLO,Residential,Urban,22.64237556,92.20014191,0.29046301,0.963757726,0.985864068,0.807614717,0.240250141,3.287949662,21706
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,FOREST ROAD,Commercial Hub,Urban,22.64879799,92.17942301,0.151197746,0.486787667,0.183070557,0.246772906,0.163293578,1.231122455,2982
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,FOREST ROAD,Residential,Urban,22.65250778,92.17583466,0.412106979,0.566562404,0.801075123,0.111745591,0.886209201,2.777699298,14169
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,FOREST ROAD,Transit Hub,Rural,22.65158272,92.17673492,0.394352076,0.830345885,0.660868967,0.811225998,0.493793551,3.190586478,867
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,Forest Road Banorupa,Residential,Urban,22.64745331,92.181427,0.062474812,0.232393584,0.478108383,0.616124268,0.001867559,1.390968605,18712
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,Hechari Alaka,Commercial Hub,Urban,22.65589905,92.16899109,0.029714795,0.442892258,0.555091449,0.503877869,0.431800553,1.963376925,4350
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,Hechari Alaka,Residential,Urban,22.65627956,92.16902542,0.938647388,0.598642308,0.863383962,0.799940399,0.576966615,3.777580673,3418
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,In Side Of Anondo Bihar,Residential,Urban,22.63955879,92.19230652,0.810710612,0.685705502,0.036969843,0.920133107,0.912628654,3.366147718,11417
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,OLD SAHEED MINAR,Residential,Urban,22.64724731,92.19654846,0.679643252,0.419584211,0.534112239,0.592421058,0.62498667,2.85074743,6954
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,Old Shahid Minar,ASU 30,Urban,22.64718247,92.19651413,0.823855832,0.582622521,0.868501661,0.343879486,0.208325711,2.827185212,4084
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,Old Shahid Minar,Residential,Urban,22.64727783,92.19631958,0.288957038,0.754207701,0.645241514,0.672627773,0.623719565,2.984753591,11346
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,126B,POLICE LINE,Residential,Urban,22.6430308,92.19422302,0.531762917,0.357124373,0.105361951,0.980798196,0.452108677,2.427156114,4302
